,Total Carbon ,,Cumulative
Date,(10^9 Kg C),(10^12 Kg),(10^12 Kg)
1751,3,0.003,0.003
1752,3,0.003,0.006
1753,3,0.003,0.009
1754,3,0.003,0.012
1755,3,0.003,0.015
1756,3,0.003,0.018
1757,3,0.003,0.021
1758,3,0.003,0.024
1759,3,0.003,0.027
1760,3,0.003,0.03
1761,3,0.003,0.033
1762,3,0.003,0.036
1763,3,0.003,0.039
1764,3,0.003,0.042
1765,3,0.003,0.045
1766,3,0.003,0.048
1767,3,0.003,0.051
1768,3,0.003,0.054
1769,3,0.003,0.057
1770,3,0.003,0.06
1771,4,0.004,0.064
1772,4,0.004,0.068
1773,4,0.004,0.072
1774,4,0.004,0.076
1775,4,0.004,0.08
1776,4,0.004,0.084
1777,4,0.004,0.088
1778,4,0.004,0.092
1779,4,0.004,0.096
1780,4,0.004,0.1
1781,5,0.005,0.105
1782,5,0.005,0.11
1783,5,0.005,0.115
1784,5,0.005,0.12
1785,5,0.005,0.125
1786,5,0.005,0.13
1787,5,0.005,0.135
1788,5,0.005,0.14
1789,5,0.005,0.145
1790,5,0.005,0.15
1791,6,0.006,0.156
1792,6,0.006,0.162
1793,6,0.006,0.168
1794,6,0.006,0.174
1795,6,0.006,0.18
1796,6,0.006,0.186
1797,7,0.007,0.193
1798,7,0.007,0.2
1799,7,0.007,0.207
1800,8,0.008,0.215
1801,8,0.008,0.223
1802,10,0.01,0.233
1803,9,0.009,0.242
1804,9,0.009,0.251
1805,9,0.009,0.26
1806,10,0.01,0.27
1807,10,0.01,0.28
1808,10,0.01,0.29
1809,10,0.01,0.3
1810,10,0.01,0.31
1811,11,0.011,0.321
1812,11,0.011,0.332
1813,11,0.011,0.343
1814,11,0.011,0.354
1815,12,0.012,0.366
1816,13,0.013,0.379
1817,14,0.014,0.393
1818,14,0.014,0.407
1819,14,0.014,0.421
1820,14,0.014,0.435
1821,14,0.014,0.449
1822,15,0.015,0.464
1823,16,0.016,0.48
1824,16,0.016,0.496
1825,17,0.017,0.513
1826,17,0.017,0.53
1827,18,0.018,0.548
1828,18,0.018,0.566
1829,18,0.018,0.584
1830,24,0.024,0.608
1831,23,0.023,0.631
1832,23,0.023,0.654
1833,24,0.024,0.678
1834,24,0.024,0.702
1835,25,0.025,0.727
1836,29,0.029,0.756
1837,29,0.029,0.785
1838,30,0.03,0.815
1839,31,0.031,0.846
1840,33,0.033,0.879
1841,34,0.034,0.913
1842,36,0.036,0.949
1843,37,0.037,0.986
1844,39,0.039,1.025
1845,43,0.043,1.068
1846,43,0.043,1.111
1847,46,0.046,1.157
1848,47,0.047,1.204
1849,50,0.05,1.254
1850,54,0.054,1.308
1851,54,0.054,1.362
1852,57,0.057,1.419
1853,59,0.059,1.478
1854,69,0.069,1.547
1855,71,0.071,1.618
1856,76,0.076,1.694
1857,77,0.077,1.771
1858,78,0.078,1.849
1859,83,0.083,1.932
1860,91,0.091,2.023
1861,95,0.095,2.118
1862,97,0.097,2.215
1863,104,0.104,2.319
1864,112,0.112,2.431
1865,119,0.119,2.55
1866,122,0.122,2.672
1867,130,0.13,2.802
1868,135,0.135,2.937
1869,142,0.142,3.079
1870,147,0.147,3.226
1871,156,0.156,3.382
1872,173,0.173,3.555
1873,184,0.184,3.739
1874,174,0.174,3.913
1875,188,0.188,4.101
1876,191,0.191,4.292
1877,194,0.194,4.486
1878,196,0.196,4.682
1879,210,0.21,4.892
1880,236,0.236,5.128
1881,243,0.243,5.371
1882,256,0.256,5.627
1883,272,0.272,5.899
1884,275,0.275,6.174
1885,277,0.277,6.451
1886,281,0.281,6.732
1887,295,0.295,7.027
1888,327,0.327,7.354
1889,327,0.327,7.681
1890,356,0.356,8.037
1891,372,0.372,8.409
1892,374,0.374,8.783
1893,370,0.37,9.153
1894,383,0.383,9.536
1895,406,0.406,9.942
1896,419,0.419,10.361
1897,440,0.44,10.801
1898,465,0.465,11.266
1899,507,0.507,11.773
1900,534,0.534,12.307
1901,552,0.552,12.859
1902,566,0.566,13.425
1903,617,0.617,14.042
1904,624,0.624,14.666
1905,663,0.663,15.329
1906,707,0.707,16.036
1907,784,0.784,16.82
1908,750,0.75,17.57
1909,785,0.785,18.355
1910,819,0.819,19.174
1911,836,0.836,20.01
1912,879,0.879,20.889
1913,943,0.943,21.832
1914,850,0.85,22.682
1915,838,0.838,23.52
1916,901,0.901,24.421
1917,955,0.955,25.376
1918,936,0.936,26.312
1919,806,0.806,27.118
1920,932,0.932,28.05
1921,803,0.803,28.853
1922,845,0.845,29.698
1923,970,0.97,30.668
1924,963,0.963,31.631
1925,975,0.975,32.606
1926,983,0.983,33.589
1927,1062,1.062,34.651
1928,1065,1.065,35.716
1929,1145,1.145,36.861
1930,1053,1.053,37.914
1931,940,0.94,38.854
1932,847,0.847,39.701
1933,893,0.893,40.594
1934,973,0.973,41.567
1935,1027,1.027,42.594
1936,1130,1.13,43.724
1937,1209,1.209,44.933
1938,1142,1.142,46.075
1939,1192,1.192,47.267
1940,1299,1.299,48.566
1941,1334,1.334,49.9
1942,1342,1.342,51.242
1943,1391,1.391,52.633
1944,1383,1.383,54.016
1945,1160,1.16,55.176
1946,1238,1.238,56.414
1947,1392,1.392,57.806
1948,1469,1.469,59.275
1949,1419,1.419,60.694
1950,1630,1.63,62.324
1951,1768,1.768,64.092
1952,1796,1.796,65.888
1953,1841,1.841,67.729
1954,1865,1.865,69.594
1955,2043,2.043,71.637
1956,2178,2.178,73.815
1957,2270,2.27,76.085
1958,2330,2.33,78.415
1959,2462,2.462,80.877
1960,2577,2.577,83.454
1961,2594,2.594,86.048
1962,2700,2.7,88.748
1963,2848,2.848,91.596
1964,3008,3.008,94.604
1965,3145,3.145,97.749
1966,3305,3.305,101.054
1967,3411,3.411,104.465
1968,3588,3.588,108.053
1969,3800,3.8,111.853
1970,4076,4.076,115.929
1971,4231,4.231,120.16
1972,4399,4.399,124.559
1973,4635,4.635,129.194
1974,4644,4.644,133.838
1975,4615,4.615,138.453
1976,4883,4.883,143.336
1977,5029,5.029,148.365
1978,5105,5.105,153.47
1979,5387,5.387,158.857
1980,5332,5.332,164.189
1981,5168,5.168,169.357
1982,5127,5.127,174.484
1983,5110,5.11,179.594
1984,5290,5.29,184.884
1985,5444,5.444,190.328
1986,5610,5.61,195.938
1987,5753,5.753,201.691
1988,5964,5.964,207.655
1989,6089,6.089,213.744
1990,6144,6.144,219.888
1991,6235,6.235,226.123
1992,6118,6.118,232.241
1993,6124,6.124,238.365
1994,6242,6.242,244.607
1995,6372,6.372,250.979
1996,6510,6.51,257.489
1997,6619,6.619,264.108
1998,6588,6.588,270.696
1999,6569,6.569,277.265
2000,6735,6.735,284
2001,6896,6.896,290.896
2002,6949,6.949,297.845
2003,7286,7.286,305.131
2004,7672,7.672,312.803
2005,7971,7.971,320.774
2006,8230,8.23,329.004
